weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98328
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98350
Other (Specify),,,,,,,,,,,,,,,,,98358
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98359
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98363
Semi-Auto Pistol,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4.4, 9 MM,2.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,false,NONE,05-10FT,PERSON,STANDING,98365
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,9.0,True,15.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,TACTICAL RELOAD/MAGAZINE,false,NONE,0-5FT,OBJECT,STANDING,98373
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.5, 9 MM,1.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,true,NONE,OVER 15FT,UNKNOWN,STANDING,98374
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.5, 9 MM,5.0,False,,LEFT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98376
Chemical Weapon,,,,,,,,,,,,,,,,,98418
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98466
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98496
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98499
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,98502
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98518
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98524
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98544
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98547
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98562
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98566
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98573
Chemical Weapon,,,,,,,,,,,,,,,,,98575
Chemical Weapon,,,,,,,,,,,,,,,,,98576
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,98584
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98593
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98595
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98602
Other (Specify),,,,,,,,,,,,,,,,,98603
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98622
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98623
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98626
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98658
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98662
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98664
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98665
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98668
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,2.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,OVER 15FT,NONE,SITTING,98671
Semi-Auto Pistol,"GLOCK, INC.--AU--",,23,4,40 S&W,13.0,True,14.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,EMERGENCY RELOAD,true,SQUAD CAR,OVER 15FT,OBJECT,SITTING,98675
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98701
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98709
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98717
Chemical Weapon,,,,,,,,,,,,,,,,,98731
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98738
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98750
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,98754
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98756
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98759
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98768
Semi-Auto Pistol,"GLOCK, INC.--AU--",,21,4.75,45 CAL,1.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,GARBAGE CAN,OVER 15FT,UNKNOWN,OTHER (SPECIFY),98774
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98780
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98790
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98794
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98812
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98839
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98849
Semi-Auto Pistol,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P229,4 IN, 9 MM,1.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,OBJECT,STANDING,98860
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98881
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98892
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98896
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98903
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98912
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98919
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98997
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99020
